"","lower","est.","upper","numDF","denDF","F-value","p-value","Model","AAPC","explower","expupper","Drug"
"1",0.165408526730959,0.198673188833749,0.231937850936538,1,198,138.718317275865,0,"UMIC",21.9783261962556,17.9875030756967,26.104135385376,"Gabapentinoids"
"2",0.114957611767458,0.129657799374094,0.144357986980729,1,376,300.77941152792,0,"HIC",13.8438742210567,12.182588434764,15.5297616010748,"Gabapentinoids"
"3",0.17013794414165,0.209310296889192,0.248482649636734,1,59,114.317849229354,0.00000000000000199840144432528,"LMIC",23.2827481718002,18.5468368458531,28.2078577647276,"Gabapentinoids"
"4",0.0745285512619597,0.118802210755448,0.163075870248936,1,192,28.0121630865112,0.000000327430565993936,"UMIC",12.6147156463801,7.73761035304954,17.7125995142891,"Gabapentin"
"5",0.053629836134599,0.0683037774591249,0.0829777187836507,1,376,83.7707601148578,0,"HIC",7.06905107245746,5.50939721978829,8.65175993448355,"Gabapentin"
"6",0.0202175361624616,0.0616186500235197,0.103019763884578,1,59,8.86936399325017,0.00420318677436859,"LMIC",6.35566800679164,2.04232948519285,10.8513317388768,"Gabapentin"
"7",0.14331214293296,0.291030579085679,0.438749015238397,1,14,17.8556660673029,0.000847337073040189,"HIC",33.7805492193331,15.4089986481793,55.0766019899848,"Gabapentin Enacarbil"
"8",0.204687827290116,0.260470003954972,0.316252180619828,1,195,84.8063189454631,0,"UMIC",29.7539792206611,22.7141924943238,37.1976197812205,"Pregabalin"
"9",0.142528564590642,0.170657959284572,0.198787353978503,1,370,142.32276527326,0,"HIC",18.608499027403,15.3186020773529,21.9922526644661,"Pregabalin"
"10",0.211017761967301,0.264759107037739,0.318500452108177,1,59,97.180006167755,0.0000000000000437427871702312,"LMIC",30.3117026245145,23.4934289729065,37.5064242861491,"Pregabalin"
